domain,name
adani.com,Adani Group
akzonobel.com,AkzoNobel
amcor.com,Amcor plc
baxter.com,Baxter
bharatforge-alusa.com,Bharat Forge Aluminum USA
bharatforge.com,Bharat Forge
cba.com.au,Commonwealth Bank of Australia (CommBank)
deloitte.com,Deloitte
dhl.com,DHL
emaar.ae,Emaar Properties PJSC
fonterra.com,Fonterra Cooperative Group
ford.com,Ford Motor Company
gep.com,GEP
gevernova.com,GE Vernova Inc.
gib.com,Gulf International Bank
gs.com,Goldman Sachs
kpmg.com,KPMG
ltts.com,L&T Technology Services Limited (LTTS)
maersk.com,A.P. Moller - Maersk
mastercard.com,Mastercard
mizuho-bk.co.jp,"Mizuho Bank, Ltd."
mizuho-cb.com,Mizuho Financial Group
novartis.com,Novartis
panasonic.com,Panasonic
samsung.com,Samsung
sartorius.com,Sartorius
sc.com,Standard Chartered
sidf.gov.sa,Saudi Industrial Development Fund (SIDF)
st.com,STMicroelectronics
sterlite.com,Sterlite Technologies Ltd
taitra.org.tw,Taiwan External Trade Development Council
toshiba.co.jp,Toshiba Corporation (東芝)
tvsmotor.com,TVS Motor Company
