domain,name
airgas.com,Airgas
awrostamani.com,AW Rostamani Group
bankofbaroda.com,Bank of Baroda
bentley.com,Bentley Systems
cbiz.com,"CBIZ, Inc."
cevalogistics.com,CEVA Logistics
danfoss.com,Danfoss
dentsplysirona.com,Dentsply Sirona Inc.
dsv.com,DSV
elarabygroup.com,ELARABY Group
endava.com,Endava
endiya.com,Endiya Partners
europa.eu,European Institute for Gender Equality
exentially.com,Exentially
foremostfarms.com,Foremost Farms USA
groq.com,Groq
hexagon.com,Hexagon
hubergroup.com,hubergroup
indra.es,"Indra Sistemas, S.A."
jnj.com,Johnson & Johnson
jpmorgan.com,J.P. Morgan
maybank.com,Malayan Banking Berhad (Maybank)
michelman.com,Michelman
morganstanley.com,Morgan Stanley
phillipslytle.com,Phillips Lytle LLP
pittsburghpaints.com,The Pittsburgh Paints Company
ptsc.com.vn,PTSC
rich.com,Rich Products Corporation
safrangroup.com,Safran
salic.com,SALIC (Saudi Agricultural and Livestock Investment Company)
srg.com.sa,Saeed Raddad Group (SRG)
vinfastauto.com,VinFast (VinFast Auto Ltd.)
waseda.jp,Waseda University
wework.com,WeWork
wittington.ca,Wittington Investments Limited
yoo.com,YOO
