domain,name
adani.com,Adani Group
adres.ae,adres.ae
agency.inc,Agency
airgas.com,Airgas
akzonobel.com,AkzoNobel
althesys.com,althesys.com
alvarezandmarsal.com,alvarezandmarsal.com
amcor.com,Amcor plc
andeco.org,ANDECO
anthropic.com,Anthropic
apollomailtester.com,Apollo.io
ask-myra.ai,myRA AI
athena.eu,athena.eu
attio.com,Attio
awrostamani.com,AW Rostamani Group
bankofbaroda.com,Bank of Baroda
baxter.com,Baxter
bentley.com,Bentley Systems
bettercotton.org,bettercotton.org
bharatforge-alusa.com,Bharat Forge Aluminum USA
bharatforge.com,Bharat Forge
cba.com.au,Commonwealth Bank of Australia (CommBank)
cbiz.com,"CBIZ, Inc."
cerealdocks.it,cerealdocks.it
cevalogistics.com,CEVA Logistics
cgglobal.com,cgglobal.com
concept-consulting.ro,concept-consulting.ro
coromandel.com,coromandel.com
danfoss.com,Danfoss
day.ai,Day AI
deloitte.com,Deloitte
dentsplysirona.com,Dentsply Sirona Inc.
dhl.com,DHL
dncs.be,dncs.be
dslflooring.com,dslflooring.com
dsv.com,DSV
elarabygroup.com,ELARABY Group
emaar.ae,Emaar Properties PJSC
endava.com,Endava
endiya.com,Endiya Partners
energyworks.com,energyworks.com
europa.eu,European Institute for Gender Equality
exa.ai,Exa
exentially.com,Exentially
fastretailing.com,fastretailing.com
fonterra.com,Fonterra Cooperative Group
foodconceptsplc.com,foodconceptsplc.com
ford.com,Ford Motor Company
foremostfarms.com,Foremost Farms USA
gep.com,GEP
gevernova.com,GE Vernova Inc.
gib.com,Gulf International Bank
global.tdk.com,global.tdk.com
gminsights.com,Global Market Insights Inc.
greenbook.org,GreenBook
groq.com,Groq
grupoagc.com.mx,grupoagc.com.mx
gs.com,Goldman Sachs
gulfgroup.kw,gulfgroup.kw
hexagon.com,Hexagon
hubergroup.com,hubergroup
icemksa.net,icemksa.net
ideallysquareglobal.com,Ideally Square Global
indra.es,"Indra Sistemas, S.A."
injaz-consulting.com,injaz-consulting.com
insightplatforms.com,Insight Platforms
jadwa.com,jadwa.com
jindalstainless.com,jindalstainless.com
jnj.com,Johnson & Johnson
jpmorgan.com,J.P. Morgan
kecrpg.com,kecrpg.com
kpmg.co.id,kpmg.co.id
kpmg.com,KPMG
lodhacaps.com,lodhacaps.com
ltts.com,L&T Technology Services Limited (LTTS)
m-chem.com,m-chem.com
maersk.com,A.P. Moller - Maersk
mailpool.io,Mailpool
mainlanddairy.com,mainlanddairy.com
mastercard.com,Mastercard
maybank.com,Malayan Banking Berhad (Maybank)
mediwell.vn,Mediwell
michelman.com,Michelman
mixpanel.com,Mixpanel
mizuho-bk.co.jp,"Mizuho Bank, Ltd."
mizuho-cb.com,Mizuho Financial Group
mordorintelligence.com,Mordor Intelligence
morganstanley.com,Morgan Stanley
novared.net,Novared S.A.
novartis.com,Novartis
ofisus.com,ofisus.com
onit.com,Onit
openai.com,OpenAI
panasonic.com,Panasonic
parallel.ai,Parallel Web Systems
phillipslytle.com,Phillips Lytle LLP
pittsburghpaints.com,The Pittsburgh Paints Company
pjh.com.my,pjh.com.my
premjiinvest.com,premjiinvest.com
prodgain.ai,ProdGain
prodgain.com,ProdGain
prodgain2.com,Prodgain.ai Private Limited (Prodgain)
ptsc.com.vn,PTSC
push360.agency,push360.agency
rainhead.global,rainhead.global
read.ai,Read AI
rich.com,Rich Products Corporation
runpod.io,RunPod
safrangroup.com,Safran
saicfinance.com,saicfinance.com
salesforce.com,Salesforce
salic.com,SALIC (Saudi Agricultural and Livestock Investment Company)
samsung.com,Samsung
sartorius.com,Sartorius
satya-accounts-index.ask-myra.ai,Satya's Accounts Index
sc.com,Standard Chartered
sidf.gov.sa,Saudi Industrial Development Fund (SIDF)
slack-bots.com,Slack Bots
slack-mail.com,Slack (Slack Technologies)
smurfitwesterock.com,smurfitwesterock.com
srg.com.sa,Saeed Raddad Group (SRG)
srg.net,srg.net
st.com,STMicroelectronics
statuspage.io,Statuspage
sterlite.com,Sterlite Technologies Ltd
stripe.com,Stripe
supabase.com,Supabase
taitra.org.tw,Taiwan External Trade Development Council
tirexchargers.com,tirexchargers.com
tmcltd.com,TMC (TallyMarks Consulting)
toshiba.co.jp,Toshiba Corporation (東芝)
toyotsu.com.sg,toyotsu.com.sg
tuvsud.com,tuvsud.com
tvsmotor.com,TVS Motor Company
upi-agro.com.ua,upi-agro.com.ua
utmach.edu.ec,utmach.edu.ec
vetropack.com,vetropack.com
vinfast.vn,vinfast.vn
vinfastauto.com,VinFast (VinFast Auto Ltd.)
voltuswave.com,voltuswave.com
waseda.jp,Waseda University
wework.com,WeWork
wishtreetech.com,Wishtree Technologies
wittington.ca,Wittington Investments Limited
yoo.com,YOO
