domain,org_name
0f96dfe0-ef34-495b-9e78-be8f4b0a6f55,CG Power Systems
a196b456-0bc6-4d7e-ad2b-d1c60485e87f,CG Power and Industrial Solutions
adani.com,Adani Group
agency.inc,Agency
akzonobel.com,AkzoNobel
alvarezandmarsal.com,alvarezandmarsal.com
amcor.com,Amcor plc
awrostamani.com,AW Rostamani Group
bankofbaroda.com,Bank of Baroda
baxter.com,Baxter
bentley.com,Bentley Systems
bharatforge-alusa.com,Bharat Forge Aluminum USA
cba.com.au,Commonwealth Bank of Australia (CommBank)
cbiz.com,"CBIZ, Inc."
cevalogistics.com,CEVA Logistics
danfoss.com,Danfoss
deloitte.com,Deloitte
dentsplysirona.com,Dentsply Sirona Inc.
dhl.com,DHL
dsv.com,DSV
elarabygroup.com,ELARABY Group
emaar.ae,Emaar Properties PJSC
endava.com,Endava
endiya.com,Endiya Partners
europa.eu,European Institute for Gender Equality
exentially.com,Exentially
fastretailing.com,fastretailing.com
fonterra.com,Fonterra Cooperative Group
foodconceptsplc.com,foodconceptsplc.com
ford.com,Ford Motor Company
foremostfarms.com,Foremost Farms USA
gep.com,GEP
getsentry.com,Sentry
gevernova.com,GE Vernova Inc.
gib.com,Gulf International Bank
groq.co,"Groq, Inc."
groq.com,Groq
gs.com,Goldman Sachs
hexagon.com,Hexagon
hubergroup.com,Hubergroup
indra.es,"Indra Sistemas, S.A."
injaz-consulting.com,injaz-consulting.com
jindalstainless.com,jindalstainless.com
jnj.com,Johnson & Johnson
jpmorgan.com,J.P. Morgan
kpmg.co.id,kpmg.co.id
kpmg.com,KPMG
ltts.com,L&T Technology Services Limited (LTTS)
maersk.com,A.P. Moller - Maersk
mastercard.com,Mastercard
maybank.com,Malayan Banking Berhad (Maybank)
mediwell.vn,Mediwell
mizuho-bk.co.jp,"Mizuho Bank, Ltd."
mizuho-cb.com,Mizuho Financial Group
morganstanley.com,Morgan Stanley
novared.net,Novared S.A.
novartis.com,Novartis
panasonic.com,Panasonic
phillipslytle.com,Phillips Lytle LLP
pittsburghpaints.com,The Pittsburgh Paints Company
premjiinvest.com,premjiinvest.com
ptsc.com.vn,PTSC
push360.agency,push360.agency
resend.com,Resend
rich.com,Rich Products Corporation
safrangroup.com,Safran
salic.com,SALIC (Saudi Agricultural and Livestock Investment Company)
samsung.com,Samsung
sartorius.com,Sartorius
sc.com,Standard Chartered
sentry.io,Sentry
srg.com.sa,Saeed Raddad Group (SRG)
st.com,STMicroelectronics
sterlite.com,Sterlite Technologies Ltd
taitra.org.tw,Taiwan External Trade Development Council
tirexchargers.com,tirexchargers.com
tmcltd.com,TMC (TallyMarks Consulting)
toshiba.co.jp,Toshiba Corporation (東芝)
upi-agro.com.ua,upi-agro.com.ua
upstash.com,Upstash
vercel.com,Vercel
vetropack.com,vetropack.com
vinfastauto.com,VinFast (VinFast Auto Ltd.)
waseda.jp,Waseda University
wework.com,WeWork
wishtreetech.com,Wishtree Technologies
wittington.ca,Wittington Investments Limited
yoo.com,YOO
