am_email,am_name,account_name,domain,priority,domain_confidence,domain_source_url,admin_notes
satya@ask-myra.ai,Satya,Sherwin-Williams,sherwin-williams.com,P1,high,https://www.sherwin-williams.com/,First guided-tour pilot account
satya@ask-myra.ai,Satya,Mitsubishi Chemical Group,mcgc.com,P2,high,https://www.mcgc.com/english/group/outline/index.html,
satya@ask-myra.ai,Satya,SIDF,sidf.gov.sa,P2,high,https://www.sidf.gov.sa/en,Saudi Industrial Development Fund
satya@ask-myra.ai,Satya,Wacker,wacker.com,P2,high,https://www.wacker.com/,
satya@ask-myra.ai,Satya,PETRONAS,petronas.com,P2,high,https://www.petronas.com/,
satya@ask-myra.ai,Satya,ADNOC,adnoc.ae,P2,high,https://www.adnoc.ae/en/home,
satya@ask-myra.ai,Satya,Sandia National Laboratories,sandia.gov,P2,high,https://www.sandia.gov/,
satya@ask-myra.ai,Satya,UltraTech,ultratechcement.com,P2,high,https://www.ultratechcement.com/,UltraTech Cement
satya@ask-myra.ai,Satya,Dubai Investments PJSC,dubaiinvestments.com,P2,high,https://www.dubaiinvestments.com/en/,
satya@ask-myra.ai,Satya,ExxonMobil,exxonmobil.com,P2,high,https://corporate.exxonmobil.com/,
satya@ask-myra.ai,Satya,Fonds FTQ,fondsftq.com,P2,high,https://www.fondsftq.com/en,
satya@ask-myra.ai,Satya,Avendus Capital,avendus.com,P2,high,https://www.avendus.com/,
satya@ask-myra.ai,Satya,Michelin,michelin.com,P2,high,https://www.michelin.com/,
satya@ask-myra.ai,Satya,Air Liquide / Airgas,airliquide.com,P2,high,https://www.airliquide.com/; https://www.airgas.com/company,Airgas is an Air Liquide company
satya@ask-myra.ai,Satya,Mondelez International,mondelezinternational.com,P2,high,https://www.mondelezinternational.com/about-us/,
satya@ask-myra.ai,Satya,Danaher,danaher.com,P2,high,https://www.danaher.com/,
satya@ask-myra.ai,Satya,Saudi Aramco,aramco.com,P2,high,https://www.aramco.com/,
satya@ask-myra.ai,Satya,ASSA ABLOY,assaabloy.com,P2,high,https://www.assaabloy.com/,
satya@ask-myra.ai,Satya,Eaton,eaton.com,P2,high,https://www.eaton.com/us/en-us.html,
satya@ask-myra.ai,Satya,Kuehne+Nagel,kuehne-nagel.com,P2,high,https://www.kuehne-nagel.com/,
satya@ask-myra.ai,Satya,Godrej Enterprises Group,godrejenterprises.com,P2,high,https://static.godrejenterprises.com/GEG_Brand_Repositioning_Press_Release_28_11_24_2606142ee2.pdf,
satya@ask-myra.ai,Satya,Welspun Corp,welspuncorp.com,P2,high,https://www.welspuncorp.com/,
satya@ask-myra.ai,Satya,Liebherr Group,liebherr.com,P2,high,https://www.liebherr.com/,
satya@ask-myra.ai,Satya,Land O'Lakes,landolakesinc.com,P2,high,https://www.landolakesinc.com/Contact,
satya@ask-myra.ai,Satya,ITW / Illinois Tool Works,itw.com,P2,high,https://www.itw.com/terms-and-conditions-of-use/,
